301	434	663	SA518650	8067197	SP107833	8067197			
302	642	664	SA518718	8068091	SP107827	8068091			
303	642	665	SA518730	8068576	SP107830	8068576			
304	642	1237	SA518717	8068089	SP107826	8068089		16	1-20%
305	642	1238	SA518729	8068575	SP107828	8068575		17	1-20%
306	643	666	SA518643	8067191	SP107820	8067191			
307	643	667	SA518617	8066897	SP107819	8066897			
308	435	2466	SA518645	8067193	SP107822	8067193			
309	435	668	SA518646	8067194	SP107824	8067194			
310	435	1239	SA518644	8067192	SP107821	8067192		20	1-20%
311	436	2467	SA518727	8068570	SP107818	8068570			
312	436	2468	SA518720	8068519	SP107816	8068519			
313	436	1240	SA518726	8068569	SP107817	8068569		15	1-20%
314	644	1241	SA518723	8068564	SP107813	8068564		81	>81%
315	644	2469	SA518724	8068565	SP107814	8068565			
316	644	2470	SA518725	8068566	SP107815	8068566			
317	645	2471	SA518631	8067179	SP107783	8067179			
318	645	1242	SA518632	8067180	SP107784	8067180		58	41-60%
319	645	669	SA518633	8067181	SP107785	8067181			
320	437	1244	SA518495	8029582	SP107777	8029582		13	1-20%
321	437	670	SA518496	8029583	SP107778	8029583			
322	437	671	SA518711	8067656	SP107779	8067656			
323	646	672	SA518716	8068064	SP107780	8068064			
324	646	673	SA518722	8068549	SP107782	8068549			
325	646	1245	SA518721	8068548	SP107781	8068548		60	41-60%
326	438	674	SA518795	8069354	SP107802	8069354			
327	438	675	SA518832	8069530	SP107804	8069530			
328	438	676	SA518796	8069355	SP107803	8069355			
329	439	1246	SA518613	8066853	SP107806	8066853		68	61-80%
330	439	677	SA518614	8066854	SP107807	8066854			
331	439	678	SA518641	8067188	SP107808	8067188			
332	439	1247	SA518611	8066852	SP107805	8066852		67	61-80%
333	440	679	SA518738	8068909	SP107794	8068909			
334	440	680	SA518885	8070273	SP107795	8070273			
335	440	1248	SA518737	8068908	SP107793	8068908		19	1-20%
336	440	1249	SA518736	8068907	SP107792	8068907		21	21-40%
337	441	681	SA518637	8067184	SP107788	8067184			
338	441	1250	SA518634	8067182	SP107786	8067182		52	41-60%
339	441	682	SA518636	8067183	SP107787	8067183			
340	442	683	SA518638	8067185	SP107789	8067185			
341	442	1251	SA518640	8067187	SP107791	8067187		26	21-40%
342	442	684	SA518639	8067186	SP107790	8067186			
343	647	1252	SA518503	8060086	SP107771	8060086		23	21-40%
344	647	685	SA518797	8069356	SP107773	8069356			
345	647	2472	SA518506	8060088	SP107772	8060088			
346	648	2473	SA518630	8067177	SP107776	8067177			
347	648	686	SA518629	8067176	SP107775	8067176			
348	648	1253	SA518628	8067175	SP107774	8067175		65	61-80%
349	443	1254	SA518599	8066551	SP107770	8066551		82	>81%
350	443	2474	SA528677	8066552	SP110731	8066552			
351	443	2475	SA518538	8066054	SP107769	8066054			
352	649	1256	SA518654	8067202	SP107838	8067202		17	1-20%
353	649	2476	SA518653	8067200	SP107837	8067200			
354	650	1257	SA410711	8032829	SP71268	8032829		14	1-20%
355	650	1258	SA410719	8032830	SP71276	8032830		14	1-20%
356	650	2477	SA410735	8032835	SP71292	8032835			
357	650	2478	SA410727	8032831	SP71284	8032831			
358	444	687	SA410647	8032807	SP71204	8032807			
359	444	688	SA410663	8032811	SP71220	8032811			
360	444	689	SA410655	8032808	SP71212	8032808			
361	444	1259	SA410638	8032805	SP71196	8032805		20	1-20%
362	445	1260	SA410602	8031716	SP71156	8031716		12	1-20%
363	445	1261	SA410607	8031717	SP71164	8031717		16	1-20%
364	445	690	SA410615	8031718	SP71172	8031718			
365	445	691	SA410630	8031722	SP71188	8031722			
366	445	692	SA410622	8031719	SP71180	8031719			
367	651	1262	SA410680	8032818	SP71236	8032818		60	41-60%
368	651	693	SA411657	8044731	SP72206	8044731			
369	651	694	SA410687	8032819	SP71244	8032819			
370	651	1263	SA410670	8032817	SP71228	8032817		63	61-80%
371	651	695	SA410695	8032820	SP71252	8032820			
372	651	696	SA410703	8032823	SP71260	8032823			
